Data;Fechamento;Abertura;Mínimo;Máximo
Ago-2019; 101134.61 ; 101818.93 ; 95855.3 ; 104848.18 
Set-2019; 104745.32 ; 101132.51 ; 99406.15 ; 106001.35 
Out-2019; 107219.83 ; 104745.06 ; 99826.3 ; 108407.54 
Nov-2019; 108233.28 ; 107220.94 ; 105260.78 ; 109671.91 
Dez-2019; 115645.34 ; 108233.28 ; 108190.46 ; 117802.86 
Jan-2020; 113760.57 ; 115651.95 ; 112825.49 ; 119593.1 
Fev-2020; 104171.57 ; 113760.57 ; 99950.96 ; 117700.53 
Mar-2020; 73019.76 ; 104259.51 ; 61690.53 ; 108803.58 
Abr-2020; 80505.89 ; 73010.78 ; 67802.47 ; 83598.01 
Mai-2020; 87402.59 ; 80501.17 ; 75696.95 ; 88090.67 
Jun-2020; 95055.82 ; 87395.15 ; 86836.57 ; 97693.47 
Jul-2020; 102912.24 ; 95061.62 ; 95061.62 ; 105703.62 
Ago-2020; 99369.15 ; 102912.87 ; 98513.34 ; 104523.28 
Set-2020; 94603.38 ; 99382.02 ; 93408.17 ; 103225.58 
Out-2020; 93952.4 ; 94604.15 ; 93386.55 ; 102217.62 
Nov-2020; 108893.32 ; 93967.64 ; 93967.64 ; 111603.41 
Dez-2020; 119017.24 ; 108897.29 ; 108897.29 ; 120149.85 
Jan-2021; 115067.55 ; 119024.29 ; 114886.51 ; 125323.53 
Fev-2021; 110035.17 ; 115093.16 ; 109827.09 ; 121116.6 
Mar-2021; 116633.72 ; 110035.82 ; 107319.15 ; 117248.51 
Abr-2021; 118893.84 ; 116644.46 ; 114990.54 ; 121974.21 
Mai-2021; 126215.73 ; 118951.28 ; 117630.62 ; 126215.73 
Jun-2021; 126801.66 ; 126218.42 ; 126184.05 ; 131190.3 
Jul-2021; 121800.79 ; 126801.66 ; 121748.18 ; 129619.81 
Ago-2021; 118781.03 ; 121802.61 ; 114801 ; 124536.25 
Set-2021; 110979.1 ; 118793.11 ; 107520.14 ; 119941.95 
Out-2021; 103500.71 ; 110979.75 ; 102853.96 ; 114926.85 
Nov-2021; 101915.45 ; 103513.62 ; 100074.61 ; 108669.18 
Dez-2021; 104822.44 ; 101916.3 ; 100726.95 ; 109492.91 
Jan-2022; 112143.51 ; 104823.42 ; 100849.56 ; 113057.03 
Fev-2022; 113141.94 ; 112143.42 ; 109125.24 ; 115734.45 
Mar-2022; 119999.23 ; 113143.06 ; 107780.86 ; 120900.02 
Abr-2022; 107876.16 ; 120001.02 ; 107876.16 ; 121628.22 
Mai-2022; 111350.51 ; 107876.15 ; 102386.18 ; 112690.15 
Jun-2022; 98541.95 ; 111350.51 ; 97758.43 ; 112708.96 
Jul-2022; 103164.69 ; 98542.1 ; 95266.94 ; 103989.47 
Ago-2022; 109522.88 ; 103164.69 ; 101693.98 ; 114375.45 
Set-2022; 110036.79 ; 109523.84 ; 106243.52 ; 114392.42 
Out-2022; 112763.79 ; 110047.56 ; 110047.56 ; 120751.55 
